able	Hung dep trai
abandon	Hung bình thường
about	Hung xau trai
above	ở trên, lên trên;
act	ahihi
add	cộng, thêm vào;
afraid	sợ, sợ hãi, hoảng sợ;
after	sau, đằng sau, sau khi;
again	lại, nữa, lần nữa;
against	chống lại, phản đối;
age	tuổi;
ago	trước đây;
agree	đồng ý, tán thành;
air	không khí, bầu không khí, không gian;
all	tất cả;
allow	cho phép, để cho;
also	cũng, cũng vậy, cũng thế;
always	luôn luôn;
among	giữa, ở giữa;
an	(tiếng địa phương) nếu;
and	và;
anger	sự tức giận, sự giận dữ;
animal	động vật, thú vật;
answer	sự trả lời; trả lời;
any	một người, vật nào đó; bất cứ; một chút nào, tí nào;
appear	xuất hiện, hiện ra, trình diện;
apple	quả táo;
are	A(đơn vị diện tích ruộng đất, bằng 100m2);
area	diện tích, bề mặt;
arm	cánh tay; vũ trang, trang bị (vũ khí);
arrange	sắp xếp, sắp đặt, sửa soạn;
arrive	đến, tới nơi;
art	nghệ thuật, mỹ thuật;
as	như (as you know…);
ask	hỏi;
at	ở tại (chỉ vị trí);
atom	nguyên tử;
baby	đứa bé mới sinh; trẻ thơ;
back	lưng, về phía sau, trở lại;
bad	xấu, tồi;
ball	quả bóng;
band	băng, đai, nẹp;
bank	bờ (sông…), đê;
bar	quán bán rượu;
base	cơ sở, cơ bản, nền móng; đặt tên, đặt cơ sở trên cái gì;
basic	cơ bản, cơ sở;
bat	(thể dục,thể thao) gây (đánh bóng chày, crikê); (từ cổ,nghĩa cổ) vợt (quần vợt);
be	thì, là;
bear	mang, cầm, vác, đeo, ôm;
beat	tiếng đập, sự đập; đánh đập, đấm;
beauty	vẻ đẹp, cái đẹp; người đẹp;
bed	cái giường;
been	thì, là;
before	trước, đằng trước;
began	bắt đầu, mở đầu, khởi đầu;
begin	bắt đầu, khởi đầu;
behind	sau, ở đằng sau;
believe	tin, tin tưởng;
bell	cái chuông, tiếng chuông;
best	tốt nhất;
better	tốt hơn;
between	giữa, ở giữa;
big	to, lớn;
bird	chim;
bit	miếng, mảnh;
black	đen; màu đen;
block	khối, tảng (đá); làm ngăn cản, ngăn chặn;
blood	máu, huyết; sự tàn sát, chem giết;
blow	nở hoa; sự nở hoa;
blue	xanh, màu xanh;
board	tấm ván; lát ván, lót ván;
boat	tàu, thuyền;
body	thân thể, thân xác;
bone	xương;
book	sách; ghi chép;
born	sinh, đẻ;
both	cả hai;
bottom	phần dưới cùng, thấp nhất; cuối, cuối cùng;
bought	mua;
box	hộp, thùng;
boy	con trai, thiếu niên;
branch	ngành; nhành cây, nhánh song, ngả đường;
bread	bánh mỳ;
break	bẻ gãy, đập vỡ; sự gãy, sự vỡ;
bright	sáng, sáng chói;
bring	mang, cầm, xách lại;
broad	rộng;
broke	khánh kiệt, túng quẫn, bần cùng;
brother	anh, em trai;
brought	cầm lại, đem lại, mang lại, xách lại, đưa lại;
brown	nâu, màu nâu;
build	xây dựng;
burn	đốt, đốt cháy, thắp, nung, thiêu;
busy	bận, bận rộn;
but	nhưng;
buy	mua;
by	bởi, bằng; 
call	gọi; tiếng kêu, tiếng gọi;
came	khung chì (để) lắp kinh (cửa);
camp	trại, chỗ cắm trại; cắm trại, hạ trại;
can	có thể; nhà tù, nhà giam, bình, ca đựng;
capital	thủ đô, tiền vốn; chủ yếu, chính yếu, cơ bản;
captain	người cầm đầu, người chỉ huy, thủ lĩnh;
car	xe hơi;
card	thẻ, thiếp;
care	sự chăm sóc, chăm nom; chăm sóc;
carry	mang, vác, khuân chở;
case	vỏ, ngăn, túi;
cat	con mèo;
catch	bắt lấy, nắm lấy, tóm lấy, chộp lấy;
caught	sự bắt, sự nắm lấy; cái bắt, cái vồ, cái chộp;
cause	nguyên nhân, nguyên do; gây ra, gây nên;
cell	ô, ngăn;
cent	đồng xu (=1/100 đô la);
center	(từ Mỹ,nghĩa Mỹ) (như) centre;
century	thế kỷ;
certain	chắc chắn;
chair	ghế;
chance	sự may mắn;
change	thay đổi, sự thay đổi, sự biến đổi;
character	tính cách, đặc tính, nhân vật;
charge	nhiệm vụ, bổn phận, trách nhiệm; giao nhiệm vụ, giao việc;
chart	đồ thị, biểu đồ; vẽ đồ thị, lập biểu đồ;
check	kiểm tra; sự kiểm tra;
chick	gà con; chim con;
chief	trọng yếu, chính yếu; thủ lĩnh, lãnh tụ, người đứng đầu, xếp;
child	đứa bé, đứa trẻ;
children	đứa bé, đứa trẻ;
choose	chọn, lựa chọn;
chord	dây (đàn hạc);
circle	đường tròn, hình tròn;
city	thành phố;
claim	đòi hỏi, yêu sách; sự đòi hỏi, sự yêu sách, sự thỉnh cầu;
class	lớp học;
clean	sạch, sạch sẽ;;
clear	lau chùi, quét dọn;
climb	leo, trèo;
clock	đồng hồ;
close	đóng kín, chật chội, che đậy, đóng, khép, kết thúc, chấm dứt;
clothe	mặc quần áo cho;
cloud	mây, đám mây;
coast	sự lao dốc; bờ biển;
coat	áo choàng;
